[INFO  ] [18:06:38.283761] <                    > fastchess --- fastchess alpha 1.5.0 compiled for macos-latest 20250921-5c6d1bc (CI) 
[INFO  ] [18:06:38.284142] <                    > fastchess --- Setting seed to: 5938664303847077188
[INFO  ] [18:06:38.359943] <                    > fastchess --- Indexing opening suite...

[INFO  ] [18:06:38.361085] <                    > fastchess --- Starting tournament...
[Engine] [18:06:38.889814] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:06:38.889826] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name UCI_Chess960 type check default false
[Engine] [18:06:38.889837] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> uciok
[Engine] [18:06:38.890299] <         0x16bab3000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/versions/v10_build/chess_engine_v10 <--- uci
[Engine] [18:06:38.894476] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> id name Stash v10.0
[Engine] [18:06:38.894627] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> id author Morgan Houppin (@mhouppin)
[Engine] [18:06:38.894644] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Hash type spin default 16 min 1 max 4096
[Engine] [18:06:38.894659] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Clear Hash type button
[Engine] [18:06:38.894692] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name MultiPV type spin default 1 min 1 max 16
[Engine] [18:06:38.894704] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Minimum Thinking Time type spin default 20 min 0 max 30000
[Engine] [18:06:38.894716] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Move Overhead type spin default 20 min 0 max 1000
[Engine] [18:06:38.894727] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name UCI_Chess960 type check default false
[Engine] [18:06:38.894737] <         0x16bc57000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> uciok
[Engine] [18:06:38.894861] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> id name Stash v10.0
[Engine] [18:06:38.894892] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> id author Morgan Houppin (@mhouppin)
[Engine] [18:06:38.894907] <         0x16bbcb000> /Users/lucaspavone/Desktop/_Bureau_/Univ/L3/Projets/chess_engine/fastchess-mac-arm64/stash-bot-v10/stash-bot ---> option name Hash type spin default 16 min 1 max 4096
